locustag,title,description,function,product,essential,protID
BSU20540,yoqR,unknown,unknown,unknown,no,O31921
new27354572735681c,S1004,new RNA feature  intergenic region,,intergenic region,,
BSU20820,yopO,similar to transcription regulator (Xre family),unknown,unknown,no,O34791
BSUmiscRNA10,BSU_misc_RNA_10,null,null,,,
new19404121941158c,S675,new RNA feature  independent transcript,,independent transcript,,
BSU02090,ybxI,beta-lactamase,unknown,beta-lactamase,no,P54427
new24503262450402c,S891,new RNA feature  intergenic region,,intergenic region,,
BSU35630,lytB,modifier protein of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],autolysis,modifier protein of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],no,Q02113
BSU06560,yerA,N6-methyladenosine deaminase,utilization of N6-methyladenosine,N6-methyladenosine deaminase,no,O34909
BSU36079,BSU_36079,,,,,
new41210824121165c,S1541,new RNA feature  3'UTR of bglA,,3'UTR of bglA,,
BSU35250,ftsX,[wiki|ABC transporter] (membrane protein) ([[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]])  required for [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity (cell elongation) and for proper activation of [[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]] and initiation of [wiki|sporulation],control of cell wall synthesis,[wiki|ABC transporter] (membrane protein),no,O34876
BSU35520,tagV,phosphotransferase  attaches teichoic acid  teichuronic acid  or acidic capsular polysaccharide to cell wall peptidoglycan via phosphodiester linkage to N-acteylmuramic acid,transfer of anionic cell wall polymers from lipid-linked precursors to peptidoglycan,phosphotransferase  responsible for attachment of anionic polymers to peptidoglycan,no,P96499
BSU13560,mtnK,5-methylthioribose kinase,methionine salvage,5-methylthioribose kinase,no,O31663
new18841691884237,S628,new RNA feature  5'UTR of ynaE,,5'UTR of ynaE,,
BSU17470,ynxB,unknown,unknown,unknown,no,P31844
new19294101929480,S669,new RNA feature  intergenic region,,intergenic region,,
BSU17640,yncD,spore coat alanine racemase,protection of the spore,spore coat alanine racemase,no,P94494
BSU12020,manA,mannose-6-phosphate isomerase  required for proper cell wall synthesis,mannose utilization,mannose-6-phosphate isomerase,no,O31646
BSU28870,infC,translation initiation factor IF-3  prevents premature docking of 50S ribosomal subunits,translation,initiation factor IF-3,yes,P55872
BSU13040,hmp,flavohemoglobin  involved in resistance to nitric oxide (NO)  essential for long-term survival under anaerobic conditions,resistance to NO,flavohemoglobin,no,P49852
BSU12420,yjoB,putative substrate-specific molecular chaperone  prevents [[protein|C1B89BD3DD27CD566018558D3A7845FB451056F0]] and [[protein|B0A1AB6E920E6CBEE45115297599AF9A80972E38]] from aggregation at elevated temperatures  AAA family  ATPase activity   similar to cell-division protein [[protein|4E7B9426CED372AA8A321A147116A3A589FBF20C]],unknown,putative substrate-specific molecular chaperone,no,O34703
BSU40160,epeP,membrane protease  processing of modified [[protein|D66B9BFF79ADD8B0F9BFA3892FCF4597264CE9EE]],control of [[protein|49E70A20CC05DBE485953C0AE34E634EFB33C3B2]]-[[protein|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]] activity,membrane protease,no,Q45594
BSU35690,ggaA,galactosamine-containing minor teichoic acid biosynthesis,biosynthesis of teichoic acid,unknown,no,P46917
new11212671121506,S369,new RNA feature  5'UTR of yhjE,,5'UTR of yhjE,,
BSU17040,mutS,DNA mismatch repair (mismatch recognition protein),DNA repair,mismatch recognition protein,no,P49849
new41049004105513,S1535,new RNA feature  3'UTR of yxaI,,3'UTR of yxaI,,
BSU40760,yyaP,unknown,unknown,unknown,no,P37508
new226436226565,S80,new RNA feature  5'UTR of ybxG,,5'UTR of ybxG,,
BSU23370,ypuA,unknown,unknown,unknown,no,P31847
BSU18730,yoaS,unknown,unknown,unknown,no,O31833
BSU04380,ydaT,general stress protein  survival of ethanol stress and low temperatures  may be involved in DNA damage repair,survival of ethanol stress and low temperatures,unknown,no,P96595
BSU26000,yqbR,similar to phage-related protein,unknown,unknown,no,P45933
BSU14568,BSU_14568,,,,,
BSU30820,menD,2-succinyl-6-hydroxy-2 4-cyclohexadiene-1-carboxylate synthase / 2-oxoglutarate decarboxylase,biosynthesis of menaquinone,2-succinyl-6-hydroxy-2 4-cyclohexadiene-1-carboxylate synthase / 2-oxoglutarate decarboxylase,yes,P23970
BSUncRNA1,aimX,part of the arbitrium peptide-based communication system,control of phage SP beta lysogeny,small ncRNA that exerts a negative regulatory effect on lysogeny,,
new24179042417983c,S879,new RNA feature  intergenic region,,intergenic region,,
BSU26150,yqbD,similar to phage-related protein,unknown,unknown,no,P45920
new39185193918628c,S1473,new RNA feature  5'UTR of qoxA,,5'UTR of qoxA,,
BSU07300,yfnE,similar to chondroitin synthase,unknown,unknown,no,O06483
new40627134063346,S1520,new RNA feature  independent transcript,,independent transcript,,
new36814973681845c,S1376,new RNA feature  independent transcript,,independent transcript,,
BSU11910,yjcM,unknown  similar to cell wall hydrolase (amides),unknown,unknown,no,O31635
BSU30370,bceB,primary bacitracin resistance determinant  [wiki|ABC transporter] (permease)  sensory component of the Bce regulatory & detoxification system  protects cell wall biosynthetic targets from inhibition by antimicrobial peptides,protection of cell wall biosynthetic targets from inhibition by antimicrobial peptides,[wiki|ABC transporter] for target protection of cell wall synthesis,no,O34741
new28925502894991,S1070,new RNA feature  independent transcript,,independent transcript,,
BSU02420,glnT,glutamine transporter (proton symport),glutamine uptake,glutamine transporter (proton symport),no,O31464
new28410212841168,S1053,new RNA feature  5'UTR of yrzH,,5'UTR of yrzH,,
new31832173183608,S1184,new RNA feature  3'UTR of yuaE,,3'UTR of yuaE,,
BSU29740,ccpA,Carbon catabolite control protein A  involved in glucose regulation of many genes; represses catabolic genes and activates genes involved in excretion of excess carbon,carbon catabolite repression (CCR),transcriptional regulator ([wiki|LacI family]),no,P25144
new600145600228c,S194,new RNA feature  intergenic region,,intergenic region,,
new38520703852185c,S1453,new RNA feature  3'UTR of ywhD,,3'UTR of ywhD,,
new275603275837,S95,new RNA feature  5'UTR of ycbJ,,5'UTR of ycbJ,,
BSU18340,ppsA,plipastatin synthetase,production of the antibacterial compound plipastatin,plipastatin synthetase,no,P39845
BSU31350,pgi,glucose 6-phosphate isomerase  glycolytic / gluconeogenic enzyme,enzyme in glycolysis / gluconeogenesis,glucose-6-phosphate isomerase,no,P80860
BSU39030,yxiT,unknown,unknown,unknown,no,
BSU29390,snaA,sulphur N-acetylase  required for the conversion of S-methyl-cysteine to cysteine,utilization of S-methyl-cysteine,sulphur N-acetylase,no,O34350
BSU36830,atpA,ATP synthase  part of the F1 complex (subunit alpha),ATP synthesis,ATP synthase (subunit alpha),no,P37808
new25256152525743c,S916,new RNA feature  5'UTR of dxs,,5'UTR of dxs,,
BSU13050,ykzH,unknown,unknown,unknown,no,O31653
BSU17490,ynzG,unknown,unknown,unknown,no,O31800
BSU04590,ydbS,resistence against antimicrobial compounds from B. amyloliquefaciens,confers resistence against antimicrobial compounds from B. amyloliquefaciens,unknown,no,P96615
BSU02630,tatAD,component of the [[protein|E4395255CD43ACB611E0BA872182DF801662C366]]-[[protein|A58C9B9BB6574662A44AF0C7A94DFFE368B740E2]] twin-arginine translocase,TAT [wiki|protein secretion],component of the twin-arginine translocation pathway,no,O31467
BSU36540,ywnJ,unknown,unknown,unknown,no,P71045
BSU20050,yosQ,similar to phage-related endodeoxyribonuclease,unknown,unknown,no,O34479
BSU36330,ywpF,unknown,unknown,unknown,no,P94588
new32247523224810,S1199,new RNA feature  5'UTR of yuzA,,5'UTR of yuzA,,
BSU18109,ynfCc,,,,,
BSU03030,ycgB,unknown,unknown,unknown,no,P55909
BSU29210,accD,acetyl-CoA carboxylase (beta subunit),production of malonyl-CoA  the substrate for fatty acid biosynthesis,acetyl-CoA carboxylase (beta subunit)),yes,C0SP93
new25999262600047c,S948,new RNA feature  5'UTR of cccA,,5'UTR of cccA,,
BSU07030,yesU,carbohydrate-binding protein  binds fucosylated glycans,carbohydrate-binding protein,unknown,no,O31524
BSU10130,hemH,coproporphyrin ferrochelatase,biosynthesis of heme,coproporphyrin ferrochelatase,no,P32396
BSUmiscRNA3,BSU_misc_RNA_3,null,null,,,
BSU31260,mcpB,membrane-bound chemotaxis receptor  methyl-accepting chemotaxis protein  receptor for asparagine as well as ethanol and other short-chain alcohols  acts also as pH sensor  responds to increasing pH as an attractant signal,control of chemotaxis  sensing of different compounds,methyl-accepting chemotaxis protein,no,P39215
BSU11270,yjzD,unknown,unknown,unknown,no,O34713
BSU07600,yflP,unknown  putative binding protein  may control [[protein|7EBB09F8FF4C2FBE35B4689B15D89FEF3D58A227]] activity,unknown,unknown,no,O34439
BSU39139,yxzJ,unknown,unknown,unknown,-,C0H3T5
BSU10930,yitB,phospho-adenylylsulfate sulfotransferase,sulfate reduction and activation,phospho-adenylylsulfate sulfotransferase,no,O06737
BSU31490,pbpD,class A penicillin-binding protein 4,bifunctional glucosyltransferase/ transpeptidase,penicillin-binding protein 4,no,P40750
BSU00370,abrB,transcriptional regulator of transition state genes,regulation of gene expression during the transition from growth to stationary phase,transcriptional regulator,no,P08874
new10751651075252c,S355,new RNA feature  5'UTR of trpP,,5'UTR of trpP,,
new26000492600188c,S949,new RNA feature  intergenic region,,intergenic region,,
BSU15540,pyrD,dihydroorotic acid dehydrogenase (catalytic subunit),pyrimidine biosynthesis,dihydroorotic acid dehydrogenase (catalytic subunit),no,P25996
BSU24750,yqhB,similar to magnesium exporter  general stress protein  required for protection against oxidative stress,protection against stress conditions,unknown,no,P54505
BSU12160,forC1,formate:menadione oxidoreductase (with [[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]])  catalytic subunit  general stress protein  important for survival of salt and ethanol stress,unknown,formate:menadione oxidoreductase,no,O34720
new347027347149,S116,new RNA feature  5'UTR of putP,,5'UTR of putP,,
new24095652409634,S873,new RNA feature  5'UTR of fer,,5'UTR of fer,,
BSU06559,yezF,unknown,unknown,unknown,-,C0H3X3
new36497313649813c,S1360,new RNA feature  5'UTR of tagO,,5'UTR of tagO,,
new13984131398495,S476,new RNA feature  5'UTR of ykoM,,5'UTR of ykoM,,
new20757802076111,S724,new RNA feature  intergenic region,,intergenic region,,
BSU00940,cysS,cysteine-tRNA synthetase,translation,cysteine-tRNA synthetase,yes,Q06752
BSU40530,cotF,spore coat protein,resistance of the spore,spore coat protein,no,P23261
BSU21160,yonA,unknown,unknown,unknown,no,O31957
BSU20280,yorR,unknown,unknown,unknown,no,O31896
BSU11590,yjbL,unknown,unknown,unknown,no,O31610
BSU35390,yviE,unknown,unknown,unknown,no,P96502
BSU05440,nap,carboxylesterase NA,lipid degradation,carboxylesterase NA,no,P96688
new20494542050111,S706,new RNA feature  3'UTR of penP,,3'UTR of penP,,
new22287232229384,S802,new RNA feature  intergenic region,,intergenic region,,
BSU37800,sivA,inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation  and subsequently of entry into [wiki|sporulation],control of entry into [wiki|sporulation] via the [wiki|phosphorelay],inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation,no,P39632
BSU40021,yxaK,unknown,unknown,unknown,-,C0H3T7
BSU10810,yisP,farnesyl diphosphate phosphatase  production of farnesol,control of [[protein|A656321846B2E0D1F39B528E2D8B8E620CCD1148]] activity,farnesyl diphosphate phosphatase,no,O06728
BSU25350,yqfD,[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent sporulation gene  similar to UDP-glucose 4-epimerase,sporulation,unknown,no,P54469
BSU09260,yhxA,similar to adenosylmethionine-8-amino-7-oxononanoate aminotransferase,unknown,unknown,no,P33189
BSU18970,yobI,unknown,unknown,unknown,no,O34784
BSU34190,lutP,lactate permease,lactate uptake,lactate permease,no,P71067
new29615052961585c,S1090,new RNA feature  intergenic region,,intergenic region,,
BSU05990,tatCY,component of the [[protein|780FDF3DD260287428B397FFE7F44DDF1917381C]]-[[protein|E60FC9C9B273DD6B07B7B95819525DE5F35113CE]] twin-arginine translocase,TAT [wiki|protein secretion],component of the twin-arginine translocation pathway,no,O05523
BSU23330,ypuC/2,part of the ypuC pseudogene,unknown,unknown,no,
BSU36120,ywrB,subunit of chromate exporter (with [[protein|70CC5C9BCC676AB89C0BF80686BD98BA08FAE648]]),chromate detoxification,chromate exporter,no,O05216
BSUtRNA7,trnSL-Ser1,tRNA-Ser,translation,transfer RNA-Ser,no,
new32364753237156,S1207,new RNA feature  5'UTR of malK,,5'UTR of malK,,
new654693655136,S212,new RNA feature  intergenic region,,intergenic region,,
BSU38750,cydB,cytochrome bd ubiquinol oxidase (subunit II)  high affinity terminal oxidase,respiration,cytochrome bd ubiquinol oxidase (subunit II)  high affinity terminal oxidase,no,P94365
new41228504123061c,S1542,new RNA feature  5'UTR of yyzE,,5'UTR of yyzE,,
BSU37480,ywhH,unknown,unknown,unknown,no,P71000
BSU05109,ydzN,unknown,unknown,unknown,-,C0H3V7
BSU07860,yfkL,similar to multidrug resistance protein,unknown,unknown,no,O34597
BSU08200,malP,maltose-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system]  EIICB of the [[category|SW.1.2.2|PTS]],maltose uptake and phosphorylation,maltose-specific [[category|SW.1.2.2|PTS]]  EIICB,no,P54715
new21936622194052c,S776,new RNA feature  intergenic region,,intergenic region,,
new25162012516406,S911,new RNA feature  5'UTR of yqiG,,5'UTR of yqiG,,
new36347933634897c,S1351,new RNA feature  5'UTR of yvyC,,5'UTR of yvyC,,
BSU19220,recQ,ATP-dependent DNA helicase  acts together with [[protein|BA755FA1CB1E0C006E9A23489A7C8997141AA498]] in replication fork maintenance,replication fork maintenance,ATP-dependent DNA helicase,no,O34748
BSU28310,ilvB,acetolactate synthase (large subunit),biosynthesis of branched-chain amino acids,acetolactate synthase (large subunit),no,P37251
BSUmiscRNA73,ncrF,,,,,
BSU34180,lutR,transcriptional repressor ([wiki|GntR family]) of the [[gene|FEC83B66CEA311EA1650D61A215F82E9DF4E9F03]]-[[gene|57B9E37F6232189CD47C1B41FDCF43FCB8016AEB]]-[[gene|lutC ]]operon and of [[gene|E607B0D57398BCCF64CF3CE2110E632B0C3A109E]],control of lactate utilization,transcriptional repressor  ([wiki|GntR family]),no,O07007
BSU33290,fhuC,hydroxamate siderophore [wiki|ABC transporter ](ATP-binding protein) (ferrichrome und ferrioxamine),siderophore uptake,hydroxamate siderophore [wiki|ABC transporter ](ATP-binding protein) (ferrichrome und ferrioxamine),no,P49938
BSU28460,yslB,unknown,unknown,unknown,no,P42955
BSU09070,yhcG,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein),no,P54591
BSU01050,rplL,ribosomal protein bL12,translation,ribosomal protein L12 (bL12),yes,P02394
BSU35720,tagF,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase,biosynthesis of teichoic acid,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase,yes,P13485
new344370344497,S115,new RNA feature  intergenic region,,intergenic region,,
BSU18310,ppsD,plipastatin synthetase,production of the antibacterial compound plipastatin,plipastatin synthetase,no,P94459
new20288112029019,S692,new RNA feature  5'UTR of yozQ,,5'UTR of yozQ,,
BSU05270,ydzF,[wiki|MarR family|MarR/DUF24 family] transcription regulator,unknown,[wiki|MarR family|MarR/DUF24 family] transcription regulator,no,O31494
BSU07490,fecF,iron/citrate ABC transporter (ATP-binding protein),iron uptake,iron/citrate ABC transporter (ATP-binding protein),no,O34510
BSU01130,tufA,elongation factor Tu  binds to charged tRNAs to form ternary complexes  brings charged tRNAs to empty ribosome A sites,translation,elongation factor Tu,yes,P33166
BSU23100,sigX,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigX  required for resistance against cationic antimicrobial peptides  required for temporary phage resistance,resistance to cationic antimcrobial peptides,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigX,no,P35165
BSU15510,pyrAA,carbamoyl-phosphate synthetase (glutaminase subunit),pyrimidine biosynthesis,carbamoyl-phosphate synthetase (glutaminase subunit),no,P25993
BSU12590,xkdE,PBSX prophage,unknown,unknown,no,P54325
BSU17510,ynaC,unknown,unknown,unknown,no,P94481
BSU18330,ppsB,plipastatin synthetase,production of the antibacterial compound plipastatin,plipastatin synthetase,no,P39846
BSU16260,ylxF,unknown,unknown,unknown,no,P23454
BSUrRNA16,rrnH-16S,16S rRNA,translation,ribosomal RNA-16S,no,
BSU09430,citR,transcriptional repressor of [[gene|6684F6083B001E9FDC5967799B715AE966B83E1D]],regulation of the minor citrate synthase,transcriptional repressor ([wiki|LysR family]),no,P39127
new28693072869365c,S1061,new RNA feature  intergenic region,,intergenic region,,
BSU10020,serC,3-phosphoserine aminotransferase,biosynthesis of serine,3-phosphoserine aminotransferase,no,P80862
BSU01220,rpsC,ribosomal protein uS3,translation,ribosomal protein S3 (uS3),yes,P21465
BSU35990,ywrO,similar to NAD(P)H oxidoreductase,unknown,unknown,no,P80871
BSU13789,ykzQ,similar to potassium binding protein,unknown,unknown,-,C0H403
BSUmiscRNA32,bsrB,6S RNA  important for timing of [wiki|sporulation],antagonist of [[protein|360F48D576DE950DF79C1A2677B7A35A8D8CC30C]],6S RNA,no,
BSU08220,yfiC,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein),no,P54719
BSU21180,yomY,unknown,unknown,unknown,no,O31959
new33212213321355c,S1249,new RNA feature  5'UTR of lipA,,5'UTR of lipA,,
BSU00660,yabT,Ser/Thr kinase  controls [[category|SW.3.3.1]] and DNA integrity during spore development,control of DNA integrity during spore development,Ser/Thr kinase,no,P37562
